"","V1","V2"
"1001","RASGRP3","c1001"
"1002","NUDT16L1","c1002"
"1003","C16orf11","c1003"
"1004","LOC284837","c1004"
"1005","PRKRIP1","c1005"
"1006","LOC285972","c1006"
"1007","FBXO47","c1007"
"1008","MED21","c1008"
"1009","KIAA1239","c1009"
"1010","SYT11","c1010"
"1011","NTSR2","c1011"
"1012","BTBD18","c1012"
"1013","OR2A25","c1013"
"1014","SPTBN2","c1014"
"1015","LRMP","c1015"
"1016","BHLHE40","c1016"
"1017","KLHL31","c1017"
"1018","RNF111","c1018"
"1019","C17orf98","c1019"
"1020","C11orf92","c1020"
"1021","PTH","c1021"
"1022","IST1","c1022"
"1023","KIAA0895","c1023"
"1024","P2RY10","c1024"
"1025","NME5","c1025"
"1026","DDX21","c1026"
"1027","LRSAM1","c1027"
"1028","HDAC11","c1028"
"1029","VMO1","c1029"
"1030","MTO1","c1030"
"1031","ADAR","c1031"
"1032","P2RX1","c1032"
"1033","HBM","c1033"
"1034","EN2","c1034"
"1035","MIR2276","c1035"
"1036","TM9SF2","c1036"
"1037","INHBE","c1037"
"1038","DLG5-AS1","c1038"
"1039","TCTE3","c1039"
"1040","TOX2","c1040"
"1041","PSG10P","c1041"
"1042","HBB","c1042"
"1043","MED15","c1043"
"1044","CASR","c1044"
"1045","MTPN","c1045"
"1046","UNC50","c1046"
"1047","C21orf33","c1047"
"1048","IRF2","c1048"
"1049","PGR","c1049"
"1050","SPATA6L","c1050"
"1051","GPR84","c1051"
"1052","SRPX","c1052"
